"stop_id","fermata","descrizione","lat","lon"
747,2408,"Scaltenigo",45.470097,12.082929
748,2409,"Caltana Scaltenigo",45.470284,12.082921
749,2410,"Scaltenigo Caltana",45.469231,12.082302
750,2411,"Scaltenigo Caltana",45.469307,12.08209
751,2412,"Case Pugliero",45.472538,12.064816
752,2413,"Case Pugliero",45.472862,12.064487
753,2414,"Mirano Fratte",45.47448,12.056262
754,2415,"Mirano Fratte",45.474258,12.056243
755,2416,"Caltana via Chiesa",45.475842,12.047761
756,2417,"Caltana via Chiesa",45.476021,12.047825
757,2418,"Caltana Pianiga",45.477566,12.038491
758,2420,"Caltana Marinoni",45.477234,12.029926
759,2421,"Salzano Lorenzetti",45.532204,12.110512
760,2422,"Salzano Lorenzetti",45.531681,12.11034
761,2423,"Oriago Sommo",45.446442,12.159578
762,2424,"Oriago Sommo",45.446079,12.159264
763,2425,"Mira Riscossa",45.441902,12.146779
764,2426,"Oriago Stazione",45.449081,12.165473
765,2427,"Oriago Romagna",45.453629,12.176764
766,2428,"Oriago Centro",45.451809,12.17141
767,2429,"Oriago Marche",45.456326,12.170998
768,2431,"Borbiago Friuli",45.459194,12.164803
769,2432,"Borbiago Friuli",45.459305,12.164227
770,2433,"Borbiago Sardegna",45.4576,12.159834
771,2434,"Borbiago Sardegna",45.457447,12.160021
772,2435,"Borbiago Milano",45.45599,12.156087
773,2436,"Borbiago Milano",45.455666,12.15582
774,2437,"Borbiago Centro",45.454597,12.151603
775,4772,"Borromini Bernini",45.435165,12.141762
776,4773,"Bernini Pertini",45.435333,12.143954
777,4774,"Bernini Di Vittorio",45.436302,12.147574
778,4775,"Di Vittorio Piscina",45.437626,12.145868
779,2538,"Veternigo Civico 60",45.515423,12.048225
780,2539,"Veternigo Civico 60",45.515705,12.048333
781,2540,"Veternigo",45.513943,12.058518
782,2541,"Veternigo",45.513535,12.058518
783,2542,"Sant'Angelo",45.521477,12.016947
784,2543,"Sant'Angelo",45.520931,12.018636
785,2544,"Borgoricco",45.530842,11.966182
786,2545,"Borgoricco",45.530651,11.96597
787,2546,"Borgoricco Civico 131",45.528088,11.981272
788,2547,"Localita' Sant'Eufemia",45.526363,11.990848
789,2548,"Borgoricco Sole",45.523808,12.004184
790,2549,"Borgoricco Sole",45.523563,12.003891
791,2550,"Mira Scuole",45.438217,12.127119
792,2551,"Dolo Presicci",45.41629,12.081697
793,2552,"Dolo Presicci",45.416744,12.08199
794,2553,"Camponogara Industria",45.403805,12.082974
795,2554,"Camponogara Industria",45.404045,12.083597
796,2555,"Fosso' Arzaroni",45.384331,12.040253
797,2556,"Fosso' Arzaroni",45.384499,12.040162
798,2557,"Ghebba Rubaldi",45.462967,12.17587
799,2558,"Ghebba Lusore",45.461296,12.175224
800,2559,"Ghebba Malpaga",45.458679,12.174318
801,2560,"Borgoricco Sant'Eufemia",45.525928,11.991548
802,2561,"Borgoricco Civico 131",45.527855,11.981172
803,2562,"Mirano Fossa",45.495159,12.13552
804,2563,"Mirano Fossa",45.495361,12.135509
805,2564,"Spinea Repubblica",45.496052,12.143678
806,2565,"Spinea Repubblica",45.496281,12.143666
807,2566,"Spinea Rossignago",45.50798,12.148339
808,2567,"Spinea Rossignago",45.506783,12.147276
809,2568,"Spinea Luneo",45.501453,12.144137
810,2569,"Spinea Luneo",45.500568,12.143253
811,2570,"Maerne Centro",45.523335,12.155684
812,2571,"Maerne Centro",45.52354,12.155345
813,2578,"Mirano Boschette",45.503948,12.109583
814,2579,"Mirano  Boschette",45.504036,12.109157
815,2580,"MIrano Luneo",45.511684,12.113319
816,2581,"Mirano Luneo",45.511654,12.112756
817,2582,"Salzano Matteotti",45.517246,12.112377
818,2583,"Salzano Matteotti",45.517242,12.111902
819,2584,"Salzano De Gasperi",45.521271,12.107141
820,2585,"Salzano De Gasperi",45.521572,12.107121
821,2586,"Salzano Chiesa",45.521309,12.103244
822,2587,"Salzano Chiesa",45.521538,12.103206
823,2588,"Salzano Municipio",45.521206,12.099051
824,2589,"Salzano Municipio",45.521511,12.099097
825,2590,"Oraigo Adige",45.45715,12.173627
826,2591,"Oriago Venezia",45.45396,12.177473
827,2592,"Oriago Ferrovia",45.454948,12.173531
828,2593,"Mirano Cavin di Sala",45.499985,12.056067
829,2594,"Oriago Marche",45.456615,12.17084
830,2595,"Scaltenigo",45.470909,12.080267
831,2596,"Campocroce Civico 36",45.48344,12.0503
832,2597,"Campocroce Civico 36",45.48325,12.050006
